ROI_INDEX,NUM_VOX,TISSUE_SEG,ROI_NAME
95,14128,WM,corpus-callosum
71,8465,GM,cerebellar-vermal-lobules-i-v
73,3968,GM,cerebellar-vermal-lobules-viii-x
72,2475,GM,cerebellar-vermal-lobules-vi-vii
39,55499,GM,left-cerebellum-exterior
41,15986,WM,left-cerebellum-white-matter
38,55500,GM,right-cerebellum-exterior
40,15769,WM,right-cerebellum-white-matter
92,2954,WM,anterior-limb-of-internal-capsule-left
91,3492,WM,anterior-limb-of-internal-capsule-right
90,723,WM,fornix-left
89,482,WM,fornix-right
94,2408,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-left
93,2387,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-right
82,90898,WM,frontal-lobe-wm-left
81,96933,WM,frontal-lobe-wm-right
84,19313,WM,occipital-lobe-wm-left
83,19345,WM,occipital-lobe-wm-right
86,44286,WM,parietal-lobe-wm-left
85,41335,WM,parietal-lobe-wm-right
88,48464,WM,temporal-lobe-wm-left
87,52094,WM,temporal-lobe-wm-right
4,622,VN,3rd-ventricle
11,1302,VN,4th-ventricle
50,229,VN,left-inf-lat-vent
52,9139,VN,left-lateral-ventricle
49,640,VN,right-inf-lat-vent
51,6075,VN,right-lateral-ventricle
35,21794,NONE,brain-stem
62,5918,NONE,left-ventral-dc
61,4957,NONE,right-ventral-dc
75,112,GM,left-basal-forebrain
76,143,GM,right-basal-forebrain
23,485,GM,right-accumbens-area
30,531,GM,left-accumbens-area
187,760,GM,left-sca-subcallosal-area
32,814,GM,left-amygdala
148,929,GM,right-mpog-postcentral-gyrus-medial-segment
31,957,GM,right-amygdala
164,1091,GM,right-orifg-orbital-part-of-the-inferior-frontal-gyrus
186,1167,GM,right-sca-subcallosal-area
149,1290,GM,left-mpog-postcentral-gyrus-medial-segment
56,1350,GM,left-pallidum
55,1360,GM,right-pallidum
116,1436,GM,right-ent-entorhinal-area
175,1538,GM,left-po-parietal-operculum
180,1691,GM,right-pp-planum-polare
140,1811,GM,right-mfc-medial-frontal-cortex
117,1837,GM,left-ent-entorhinal-area
118,1922,GM,right-fo-frontal-operculum
124,1924,GM,right-gre-gyrus-rectus
156,1949,GM,right-ocp-occipital-pole
165,1055,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus_0
208,972,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus_1
104,1122,GM,right-aorg-anterior-orbital-gyrus_0
209,949,GM,right-aorg-anterior-orbital-gyrus_1
181,1161,GM,left-pp-planum-polare_0
210,943,GM,left-pp-planum-polare_1
105,1324,GM,left-aorg-anterior-orbital-gyrus_0
211,890,GM,left-aorg-anterior-orbital-gyrus_1
207,1157,GM,left-ttg-transverse-temporal-gyrus_0
212,1127,GM,left-ttg-transverse-temporal-gyrus_1
119,1201,GM,left-fo-frontal-operculum_0
213,1229,GM,left-fo-frontal-operculum_1
174,1076,GM,right-po-parietal-operculum_0
214,1359,GM,right-po-parietal-operculum_1
184,1610,GM,right-pt-planum-temporale_0
215,838,GM,right-pt-planum-temporale_1
172,981,GM,right-pins-posterior-insula_0
216,1547,GM,right-pins-posterior-insula_1
141,1546,GM,left-mfc-medial-frontal-cortex_0
217,1088,GM,left-mfc-medial-frontal-cortex_1
206,1412,GM,right-ttg-transverse-temporal-gyrus_0
218,1260,GM,right-ttg-transverse-temporal-gyrus_1
170,1393,GM,right-phg-parahippocampal-gyrus_0
219,1291,GM,right-phg-parahippocampal-gyrus_1
157,1506,GM,left-ocp-occipital-pole_0
220,1235,GM,left-ocp-occipital-pole_1
185,1141,GM,left-pt-planum-temporale_0
221,1641,GM,left-pt-planum-temporale_1
136,1317,GM,right-lorg-lateral-orbital-gyrus_0
222,1527,GM,right-lorg-lateral-orbital-gyrus_1
137,1754,GM,left-lorg-lateral-orbital-gyrus_0
223,1184,GM,left-lorg-lateral-orbital-gyrus_1
173,1734,GM,left-pins-posterior-insula_0
224,1210,GM,left-pins-posterior-insula_1
178,2004,GM,right-porg-posterior-orbital-gyrus_0
225,985,GM,right-porg-posterior-orbital-gyrus_1
163,1268,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_0
226,1755,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_1
36,996,GM,right-caudate_0
227,2103,GM,right-caudate_1
204,1483,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
228,1712,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
151,1677,GM,left-mprg-precentral-gyrus-medial-segment_0
229,1543,GM,left-mprg-precentral-gyrus-medial-segment_1
125,1749,GM,left-gre-gyrus-rectus_0
230,1542,GM,left-gre-gyrus-rectus_1
37,2381,GM,left-caudate_0
231,966,GM,left-caudate_1
150,1914,GM,right-mprg-precentral-gyrus-medial-segment_0
232,1599,GM,right-mprg-precentral-gyrus-medial-segment_1
171,1927,GM,left-phg-parahippocampal-gyrus_0
233,1728,GM,left-phg-parahippocampal-gyrus_1
147,2092,GM,left-morg-medial-orbital-gyrus_0
234,1661,GM,left-morg-medial-orbital-gyrus_1
48,2369,GM,left-hippocampus_0
235,1416,GM,left-hippocampus_1
47,965,GM,right-hippocampus_0
236,1517,GM,right-hippocampus_1
237,1474,GM,right-hippocampus_2
120,1456,GM,right-frp-frontal-pole_0
238,1360,GM,right-frp-frontal-pole_1
239,1365,GM,right-frp-frontal-pole_2
121,1421,GM,left-frp-frontal-pole_0
240,1506,GM,left-frp-frontal-pole_1
241,1273,GM,left-frp-frontal-pole_2
57,1170,GM,right-putamen_0
242,1677,GM,right-putamen_1
243,1508,GM,right-putamen_2
58,1551,GM,left-putamen_0
244,1286,GM,left-putamen_1
245,1823,GM,left-putamen_2
192,1326,GM,right-smc-supplementary-motor-cortex_0
246,1875,GM,right-smc-supplementary-motor-cortex_1
247,1467,GM,right-smc-supplementary-motor-cortex_2
146,1686,GM,right-morg-medial-orbital-gyrus_0
248,1643,GM,right-morg-medial-orbital-gyrus_1
249,1429,GM,right-morg-medial-orbital-gyrus_2
197,1495,GM,left-sog-superior-occipital-gyrus_0
250,1568,GM,left-sog-superior-occipital-gyrus_1
251,1833,GM,left-sog-superior-occipital-gyrus_2
109,1544,GM,left-calc-calcarine-cortex_0
252,1751,GM,left-calc-calcarine-cortex_1
253,1610,GM,left-calc-calcarine-cortex_2
103,1531,GM,left-ains-anterior-insula_0
254,1764,GM,left-ains-anterior-insula_1
255,1671,GM,left-ains-anterior-insula_2
161,1668,GM,left-ofug-occipital-fusiform-gyrus_0
256,2171,GM,left-ofug-occipital-fusiform-gyrus_1
257,1155,GM,left-ofug-occipital-fusiform-gyrus_2
102,1390,GM,right-ains-anterior-insula_0
258,1800,GM,right-ains-anterior-insula_1
259,1936,GM,right-ains-anterior-insula_2
162,1766,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_0
260,1660,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_1
261,1729,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_2
179,1898,GM,left-porg-posterior-orbital-gyrus_0
262,1594,GM,left-porg-posterior-orbital-gyrus_1
263,1729,GM,left-porg-posterior-orbital-gyrus_2
196,1896,GM,right-sog-superior-occipital-gyrus_0
264,1828,GM,right-sog-superior-occipital-gyrus_1
265,1538,GM,right-sog-superior-occipital-gyrus_2
167,1931,GM,left-pcgg-posterior-cingulate-gyrus_0
266,1669,GM,left-pcgg-posterior-cingulate-gyrus_1
267,1681,GM,left-pcgg-posterior-cingulate-gyrus_2
139,1949,GM,left-mcgg-middle-cingulate-gyrus_0
268,1866,GM,left-mcgg-middle-cingulate-gyrus_1
269,1753,GM,left-mcgg-middle-cingulate-gyrus_2
108,1732,GM,right-calc-calcarine-cortex_0
270,1977,GM,right-calc-calcarine-cortex_1
271,1996,GM,right-calc-calcarine-cortex_2
205,1963,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
272,1522,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
273,1300,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_2
274,1072,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_3
112,1806,GM,right-co-central-operculum_0
275,1570,GM,right-co-central-operculum_1
276,1469,GM,right-co-central-operculum_2
277,1135,GM,right-co-central-operculum_3
144,1658,GM,right-mog-middle-occipital-gyrus_0
278,1550,GM,right-mog-middle-occipital-gyrus_1
279,1256,GM,right-mog-middle-occipital-gyrus_2
280,1614,GM,right-mog-middle-occipital-gyrus_3
160,1287,GM,right-ofug-occipital-fusiform-gyrus_0
