ROI_INDEX,NUM_VOX,TISSUE_SEG,ROI_NAME
95,11374,WM,corpus-callosum
71,5259,GM,cerebellar-vermal-lobules-i-v
73,3676,GM,cerebellar-vermal-lobules-viii-x
72,2595,GM,cerebellar-vermal-lobules-vi-vii
39,53316,GM,left-cerebellum-exterior
41,14161,WM,left-cerebellum-white-matter
38,52248,GM,right-cerebellum-exterior
40,13470,WM,right-cerebellum-white-matter
92,3316,WM,anterior-limb-of-internal-capsule-left
91,3506,WM,anterior-limb-of-internal-capsule-right
90,550,WM,fornix-left
89,467,WM,fornix-right
94,2112,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-left
93,1981,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-right
82,87871,WM,frontal-lobe-wm-left
81,90980,WM,frontal-lobe-wm-right
84,17143,WM,occipital-lobe-wm-left
83,18042,WM,occipital-lobe-wm-right
86,45517,WM,parietal-lobe-wm-left
85,43345,WM,parietal-lobe-wm-right
88,50534,WM,temporal-lobe-wm-left
87,48807,WM,temporal-lobe-wm-right
4,2073,VN,3rd-ventricle
11,2079,VN,4th-ventricle
50,502,VN,left-inf-lat-vent
52,21586,VN,left-lateral-ventricle
49,385,VN,right-inf-lat-vent
51,14142,VN,right-lateral-ventricle
35,18018,NONE,brain-stem
62,5370,NONE,left-ventral-dc
61,4985,NONE,right-ventral-dc
75,134,GM,left-basal-forebrain
76,143,GM,right-basal-forebrain
23,256,GM,right-accumbens-area
30,410,GM,left-accumbens-area
31,1000,GM,right-amygdala
136,1059,GM,right-lorg-lateral-orbital-gyrus
32,1092,GM,left-amygdala
105,1200,GM,left-aorg-anterior-orbital-gyrus
165,1341,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus
149,1405,GM,left-mpog-postcentral-gyrus-medial-segment
156,1474,GM,right-ocp-occipital-pole
55,1514,GM,right-pallidum
119,1534,GM,left-fo-frontal-operculum
56,1558,GM,left-pallidum
164,1584,GM,right-orifg-orbital-part-of-the-inferior-frontal-gyrus
180,1743,GM,right-pp-planum-polare
124,1823,GM,right-gre-gyrus-rectus
