ROI_INDEX,NUM_VOX,TISSUE_SEG,ROI_NAME
95,12781,WM,corpus-callosum
71,4944,GM,cerebellar-vermal-lobules-i-v
73,3311,GM,cerebellar-vermal-lobules-viii-x
72,2164,GM,cerebellar-vermal-lobules-vi-vii
39,51605,GM,left-cerebellum-exterior
41,14607,WM,left-cerebellum-white-matter
38,51280,GM,right-cerebellum-exterior
40,12371,WM,right-cerebellum-white-matter
92,3428,WM,anterior-limb-of-internal-capsule-left
91,3372,WM,anterior-limb-of-internal-capsule-right
90,751,WM,fornix-left
89,505,WM,fornix-right
94,2591,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-left
93,2365,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-right
82,95391,WM,frontal-lobe-wm-left
81,99637,WM,frontal-lobe-wm-right
84,22299,WM,occipital-lobe-wm-left
83,22080,WM,occipital-lobe-wm-right
86,53547,WM,parietal-lobe-wm-left
85,48148,WM,parietal-lobe-wm-right
88,55049,WM,temporal-lobe-wm-left
87,53719,WM,temporal-lobe-wm-right
4,540,VN,3rd-ventricle
11,2269,VN,4th-ventricle
50,531,VN,left-inf-lat-vent
52,3176,VN,left-lateral-ventricle
49,718,VN,right-inf-lat-vent
51,3089,VN,right-lateral-ventricle
35,21110,NONE,brain-stem
62,5717,NONE,left-ventral-dc
61,5362,NONE,right-ventral-dc
76,557,GM,right-basal-forebrain
75,624,GM,left-basal-forebrain
23,695,GM,right-accumbens-area
148,833,GM,right-mpog-postcentral-gyrus-medial-segment
30,838,GM,left-accumbens-area
149,1079,GM,left-mpog-postcentral-gyrus-medial-segment
165,1140,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus
206,1237,GM,right-ttg-transverse-temporal-gyrus
31,1284,GM,right-amygdala
32,1321,GM,left-amygdala
187,1454,GM,left-sca-subcallosal-area
186,1488,GM,right-sca-subcallosal-area
207,1645,GM,left-ttg-transverse-temporal-gyrus
164,1703,GM,right-orifg-orbital-part-of-the-inferior-frontal-gyrus
55,1706,GM,right-pallidum
56,1719,GM,left-pallidum
119,1817,GM,left-fo-frontal-operculum
184,1154,GM,right-pt-planum-temporale_0
208,971,GM,right-pt-planum-temporale_1
116,1216,GM,right-ent-entorhinal-area_0
209,934,GM,right-ent-entorhinal-area_1
105,1481,GM,left-aorg-anterior-orbital-gyrus_0
210,695,GM,left-aorg-anterior-orbital-gyrus_1
117,1184,GM,left-ent-entorhinal-area_0
211,1079,GM,left-ent-entorhinal-area_1
104,1863,GM,right-aorg-anterior-orbital-gyrus_0
212,642,GM,right-aorg-anterior-orbital-gyrus_1
179,1165,GM,left-porg-posterior-orbital-gyrus_0
213,1355,GM,left-porg-posterior-orbital-gyrus_1
118,1361,GM,right-fo-frontal-operculum_0
214,1222,GM,right-fo-frontal-operculum_1
173,1048,GM,left-pins-posterior-insula_0
215,1564,GM,left-pins-posterior-insula_1
178,1217,GM,right-porg-posterior-orbital-gyrus_0
216,1456,GM,right-porg-posterior-orbital-gyrus_1
157,1404,GM,left-ocp-occipital-pole_0
217,1357,GM,left-ocp-occipital-pole_1
175,1481,GM,left-po-parietal-operculum_0
218,1300,GM,left-po-parietal-operculum_1
181,1917,GM,left-pp-planum-polare_0
219,1047,GM,left-pp-planum-polare_1
170,1351,GM,right-phg-parahippocampal-gyrus_0
220,1614,GM,right-phg-parahippocampal-gyrus_1
174,1525,GM,right-po-parietal-operculum_0
221,1446,GM,right-po-parietal-operculum_1
172,1748,GM,right-pins-posterior-insula_0
222,1226,GM,right-pins-posterior-insula_1
112,1472,GM,right-co-central-operculum_0
223,1569,GM,right-co-central-operculum_1
141,1662,GM,left-mfc-medial-frontal-cortex_0
224,1383,GM,left-mfc-medial-frontal-cortex_1
156,1446,GM,right-ocp-occipital-pole_0
225,1677,GM,right-ocp-occipital-pole_1
108,1250,GM,right-calc-calcarine-cortex_0
226,1999,GM,right-calc-calcarine-cortex_1
125,1512,GM,left-gre-gyrus-rectus_0
227,1756,GM,left-gre-gyrus-rectus_1
150,1558,GM,right-mprg-precentral-gyrus-medial-segment_0
228,1736,GM,right-mprg-precentral-gyrus-medial-segment_1
180,1224,GM,right-pp-planum-polare_0
229,2086,GM,right-pp-planum-polare_1
37,2334,GM,left-caudate_0
230,1082,GM,left-caudate_1
171,1609,GM,left-phg-parahippocampal-gyrus_0
231,1829,GM,left-phg-parahippocampal-gyrus_1
185,1792,GM,left-pt-planum-temporale_0
232,1646,GM,left-pt-planum-temporale_1
151,1739,GM,left-mprg-precentral-gyrus-medial-segment_0
233,1710,GM,left-mprg-precentral-gyrus-medial-segment_1
124,1780,GM,right-gre-gyrus-rectus_0
234,1700,GM,right-gre-gyrus-rectus_1
36,1210,GM,right-caudate_0
235,2273,GM,right-caudate_1
136,1441,GM,right-lorg-lateral-orbital-gyrus_0
236,2059,GM,right-lorg-lateral-orbital-gyrus_1
140,1438,GM,right-mfc-medial-frontal-cortex_0
237,2266,GM,right-mfc-medial-frontal-cortex_1
161,1969,GM,left-ofug-occipital-fusiform-gyrus_0
238,1778,GM,left-ofug-occipital-fusiform-gyrus_1
205,1572,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
239,1388,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
240,1026,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_2
109,1511,GM,left-calc-calcarine-cortex_0
241,1523,GM,left-calc-calcarine-cortex_1
242,953,GM,left-calc-calcarine-cortex_2
121,1543,GM,left-frp-frontal-pole_0
243,1214,GM,left-frp-frontal-pole_1
244,1407,GM,left-frp-frontal-pole_2
137,1743,GM,left-lorg-lateral-orbital-gyrus_0
245,1193,GM,left-lorg-lateral-orbital-gyrus_1
246,1432,GM,left-lorg-lateral-orbital-gyrus_2
193,1305,GM,left-smc-supplementary-motor-cortex_0
247,1564,GM,left-smc-supplementary-motor-cortex_1
248,1597,GM,left-smc-supplementary-motor-cortex_2
192,1591,GM,right-smc-supplementary-motor-cortex_0
249,1576,GM,right-smc-supplementary-motor-cortex_1
250,1414,GM,right-smc-supplementary-motor-cortex_2
167,2006,GM,left-pcgg-posterior-cingulate-gyrus_0
251,876,GM,left-pcgg-posterior-cingulate-gyrus_1
252,1779,GM,left-pcgg-posterior-cingulate-gyrus_2
163,1670,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_0
253,1786,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_1
254,1271,GM,left-opifg-opercular-part-of-the-inferior-frontal-gyrus_2
48,2032,GM,left-hippocampus_0
255,1255,GM,left-hippocampus_1
256,1743,GM,left-hippocampus_2
