ROI_INDEX,NUM_VOX,TISSUE_SEG,ROI_NAME
95,9770,WM,corpus-callosum
71,4549,GM,cerebellar-vermal-lobules-i-v
73,3209,GM,cerebellar-vermal-lobules-viii-x
72,2187,GM,cerebellar-vermal-lobules-vi-vii
39,58057,GM,left-cerebellum-exterior
41,12243,WM,left-cerebellum-white-matter
38,57369,GM,right-cerebellum-exterior
40,11457,WM,right-cerebellum-white-matter
92,2908,WM,anterior-limb-of-internal-capsule-left
91,3288,WM,anterior-limb-of-internal-capsule-right
90,755,WM,fornix-left
89,787,WM,fornix-right
94,1984,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-left
93,2205,WM,posterior-limb-of-internal-capsule-inc.-cerebral-peduncle-right
82,81875,WM,frontal-lobe-wm-left
81,83985,WM,frontal-lobe-wm-right
84,19279,WM,occipital-lobe-wm-left
83,18728,WM,occipital-lobe-wm-right
86,38998,WM,parietal-lobe-wm-left
85,38644,WM,parietal-lobe-wm-right
88,50209,WM,temporal-lobe-wm-left
87,50134,WM,temporal-lobe-wm-right
4,885,VN,3rd-ventricle
11,1567,VN,4th-ventricle
50,931,VN,left-inf-lat-vent
52,28976,VN,left-lateral-ventricle
49,715,VN,right-inf-lat-vent
51,26917,VN,right-lateral-ventricle
35,16345,NONE,brain-stem
62,4748,NONE,left-ventral-dc
61,4699,NONE,right-ventral-dc
30,392,GM,left-accumbens-area
23,395,GM,right-accumbens-area
149,552,GM,left-mpog-postcentral-gyrus-medial-segment
76,620,GM,right-basal-forebrain
31,927,GM,right-amygdala
75,957,GM,left-basal-forebrain
164,957,GM,right-orifg-orbital-part-of-the-inferior-frontal-gyrus
148,973,GM,right-mpog-postcentral-gyrus-medial-segment
32,1065,GM,left-amygdala
118,1352,GM,right-fo-frontal-operculum
55,1374,GM,right-pallidum
117,1374,GM,left-ent-entorhinal-area
56,1441,GM,left-pallidum
116,1569,GM,right-ent-entorhinal-area
186,1627,GM,right-sca-subcallosal-area
206,1690,GM,right-ttg-transverse-temporal-gyrus
185,1725,GM,left-pt-planum-temporale
105,1767,GM,left-aorg-anterior-orbital-gyrus
207,1849,GM,left-ttg-transverse-temporal-gyrus
187,1868,GM,left-sca-subcallosal-area
175,1888,GM,left-po-parietal-operculum
119,1905,GM,left-fo-frontal-operculum
165,1303,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus_0
208,817,GM,left-orifg-orbital-part-of-the-inferior-frontal-gyrus_1
184,1486,GM,right-pt-planum-temporale_0
209,936,GM,right-pt-planum-temporale_1
162,1568,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_0
210,900,GM,right-opifg-opercular-part-of-the-inferior-frontal-gyrus_1
173,1391,GM,left-pins-posterior-insula_0
211,1097,GM,left-pins-posterior-insula_1
104,1429,GM,right-aorg-anterior-orbital-gyrus_0
212,1151,GM,right-aorg-anterior-orbital-gyrus_1
48,1045,GM,left-hippocampus_0
213,1578,GM,left-hippocampus_1
181,687,GM,left-pp-planum-polare_0
214,1974,GM,left-pp-planum-polare_1
124,1367,GM,right-gre-gyrus-rectus_0
215,1354,GM,right-gre-gyrus-rectus_1
47,1775,GM,right-hippocampus_0
216,1039,GM,right-hippocampus_1
140,1738,GM,right-mfc-medial-frontal-cortex_0
217,1078,GM,right-mfc-medial-frontal-cortex_1
204,1058,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
218,1776,GM,right-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
180,1366,GM,right-pp-planum-polare_0
219,1479,GM,right-pp-planum-polare_1
172,1277,GM,right-pins-posterior-insula_0
220,1578,GM,right-pins-posterior-insula_1
37,1056,GM,left-caudate_0
221,2047,GM,left-caudate_1
36,1052,GM,right-caudate_0
222,2072,GM,right-caudate_1
120,1990,GM,right-frp-frontal-pole_0
223,1243,GM,right-frp-frontal-pole_1
157,1597,GM,left-ocp-occipital-pole_0
224,1652,GM,left-ocp-occipital-pole_1
205,1912,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_0
225,1387,GM,left-trifg-triangular-part-of-the-inferior-frontal-gyrus_1
136,1951,GM,right-lorg-lateral-orbital-gyrus_0
226,1421,GM,right-lorg-lateral-orbital-gyrus_1
108,1569,GM,right-calc-calcarine-cortex_0
227,1815,GM,right-calc-calcarine-cortex_1
179,1380,GM,left-porg-posterior-orbital-gyrus_0
228,2135,GM,left-porg-posterior-orbital-gyrus_1
